# instance_ID: 32078
set DESTS := 0 1 2 3 4 5 6 7 8 9 ;
set NONDESTS := ;
set CROSS := (0,2,1,5) (0,2,1,6) (0,2,1,7) (0,2,1,8) (0,2,3,5) (0,2,3,6) (0,2,3,7) (0,2,3,8) (0,2,4,5) (0,2,4,6) (0,2,4,7) (0,2,4,8) (0,2,5,9) (0,2,6,9) (0,2,7,9) (0,2,8,9) (0,3,1,2) (0,3,1,4) (0,3,1,5) (0,3,1,6) (0,3,1,7) (0,3,1,8) (0,3,1,9) (0,4,1,2) (0,4,1,5) (0,4,1,6) (0,4,1,7) (0,4,1,8) (0,4,1,9) (0,4,2,3) (0,4,3,5) (0,4,3,6) (0,4,3,7) (0,4,3,8) (0,4,3,9) (0,6,1,5) (0,6,1,8) (0,6,2,5) (0,6,2,8) (0,6,3,5) (0,6,3,8) (0,6,4,5) (0,6,4,8) (0,6,5,7) (0,6,5,9) (0,6,7,8) (0,6,8,9) (0,7,1,5) (0,7,1,6) (0,7,1,8) (0,7,3,5) (0,7,3,8) (0,7,4,5) (0,7,4,8) (0,7,5,9) (0,7,8,9) (0,8,1,5) (0,8,2,5) (0,8,3,5) (0,8,4,5) (0,8,5,6) (0,8,5,7) (0,8,5,9) (0,9,1,2) (0,9,1,5) (0,9,1,6) (0,9,1,7) (0,9,1,8) (0,9,3,5) (0,9,3,6) (0,9,3,7) (0,9,3,8) (1,2,3,5) (1,2,3,6) (1,2,3,7) (1,2,3,8) (1,2,4,5) (1,2,4,6) (1,2,4,7) (1,2,4,8) (1,2,5,9) (1,2,6,9) (1,2,7,9) (1,2,8,9) (1,4,2,3) (1,4,3,5) (1,4,3,6) (1,4,3,7) (1,4,3,8) (1,4,3,9) (1,6,2,5) (1,6,2,8) (1,6,3,5) (1,6,3,8) (1,6,4,5) (1,6,4,8) (1,6,5,7) (1,6,5,9) (1,6,7,8) (1,6,8,9) (1,7,3,5) (1,7,3,8) (1,7,4,5) (1,7,4,8) (1,7,5,9) (1,7,8,9) (1,8,2,5) (1,8,3,5) (1,8,4,5) (1,8,5,6) (1,8,5,7) (1,8,5,9) (1,9,3,5) (1,9,3,6) (1,9,3,7) (1,9,3,8) (2,3,4,5) (2,3,4,6) (2,3,4,7) (2,3,4,8) (2,3,4,9) (2,5,3,6) (2,5,3,8) (2,5,4,6) (2,5,4,8) (2,5,6,7) (2,5,6,9) (2,5,7,8) (2,5,8,9) (2,7,3,6) (2,7,4,6) (2,7,6,9) (2,8,3,6) (2,8,4,6) (2,8,5,6) (2,8,6,7) (2,8,6,9) (2,9,4,5) (2,9,4,6) (2,9,4,7) (2,9,4,8) (3,6,4,5) (3,6,4,7) (3,6,4,8) (3,6,5,9) (3,6,7,9) (3,6,8,9) (3,7,4,5) (3,7,4,8) (3,7,5,9) (3,7,8,9) (3,8,4,5) (3,8,5,6) (3,8,5,7) (3,8,5,9) (4,5,6,9) (4,5,7,9) (4,5,8,9) (4,7,6,9) (4,8,5,6) (4,8,5,7) (4,8,6,9) (4,8,7,9) (5,6,7,8) (5,6,8,9) (5,7,8,9) ;
param requir :=
 0 0 0.0	 0 1 1313.0	 0 2 4352.0	 0 3 2866.0	 0 4 4361.0	 0 5 2017.0	 0 6 3697.0	 0 7 1745.0	 0 8 2405.0	 0 9 2561.0	
 1 0 1313.0	 1 1 0.0	 1 2 2465.0	 1 3 313.0	 1 4 1530.0	 1 5 5840.0	 1 6 5648.0	 1 7 2176.0	 1 8 6084.0	 1 9 778.0	
 2 0 4352.0	 2 1 2465.0	 2 2 0.0	 2 3 2066.0	 2 4 425.0	 2 5 6625.0	 2 6 2929.0	 2 7 1105.0	 2 8 6053.0	 2 9 481.0	
 3 0 2866.0	 3 1 313.0	 3 2 2066.0	 3 3 0.0	 3 4 829.0	 3 5 8321.0	 3 6 6961.0	 3 7 2953.0	 3 8 8425.0	 3 9 625.0	
 4 0 4361.0	 4 1 1530.0	 4 2 425.0	 4 3 829.0	 4 4 0.0	 4 5 8450.0	 4 6 5090.0	 4 7 2074.0	 4 8 8082.0	 4 9 244.0	
 5 0 2017.0	 5 1 5840.0	 5 2 6625.0	 5 3 8321.0	 5 4 8450.0	 5 5 0.0	 5 6 1664.0	 5 7 2320.0	 5 8 68.0	 5 9 5986.0	
 6 0 3697.0	 6 1 5648.0	 6 2 2929.0	 6 3 6961.0	 6 4 5090.0	 6 5 1664.0	 6 6 0.0	 6 7 848.0	 6 8 1124.0	 6 9 3746.0	
 7 0 1745.0	 7 1 2176.0	 7 2 1105.0	 7 3 2953.0	 7 4 2074.0	 7 5 2320.0	 7 6 848.0	 7 7 0.0	 7 8 2020.0	 7 9 1098.0	
 8 0 2405.0	 8 1 6084.0	 8 2 6053.0	 8 3 8425.0	 8 4 8082.0	 8 5 68.0	 8 6 1124.0	 8 7 2020.0	 8 8 0.0	 8 9 5770.0	
 9 0 2561.0	 9 1 778.0	 9 2 481.0	 9 3 625.0	 9 4 244.0	 9 5 5986.0	 9 6 3746.0	 9 7 1098.0	 9 8 5770.0	 9 9 0.0	
;
